x;horodate;conso;prod
367;2017-01-08 15:30:00;47438,08256969802;26055,61394153463
368;2017-01-08 16:00:00;45134,17321983254;15280,475107693586
369;2017-01-08 16:30:00;45923,99439257083;6192,849967556924
370;2017-01-08 17:00:00;44417,435592101014;1072,2494544186186
371;2017-01-08 17:30:00;48392,547249957075;628,4379557051825
372;2017-01-08 18:00:00;50450,739396828416;634,1924409161086
373;2017-01-08 18:30:00;51971,34836445426;637,0696835215717
374;2017-01-08 19:00:00;53167,32015043458;638,0287643900595
375;2017-01-08 19:30:00;52502,2118060604;639,9469261270348
376;2017-01-08 20:00:00;52068,7208784822;639,9469261270348
377;2017-01-08 20:30:00;50188,12045859971;640,8929641944713
378;2017-01-08 21:00:00;49513,34714897824;641,8650878640101
379;2017-01-08 21:30:00;48120,96941328065;642,8241687324978
380;2017-01-08 22:00:00;56350,25470371809;640,9060069955225
381;2017-01-08 22:30:00;56501,08926899368;638,9878452585472
382;2017-01-08 23:00:00;55254,14733699808;639,9338833259837
383;2017-01-08 23:30:00;54327,208675766706;639,9469261270348
384;2017-01-09 00:00:00;52835,54779551785;640,9060069955225
385;2017-01-09 00:30:00;51286,36904672047;638,0287643900595
386;2017-01-09 01:00:00;60749,377985351704;634,1793981150576
387;2017-01-09 01:30:00;58902,08333658824;632,2742791791333
388;2017-01-09 02:00:00;56569,505021586956;626,5197939682071
389;2017-01-09 02:30:00;58248,02787018093;622,6704276932053
390;2017-01-09 03:00:00;64970,76668664897;618,8471470203056
391;2017-01-09 03:30:00;63301,61810051957;615,9699044148425
392;2017-01-09 04:00:00;61856,47606903178;613,0796190083283
393;2017-01-09 04:30:00;60590,89154094784;613,0926618093795
394;2017-01-09 05:00:00;60646,58226862883;615,0108235463549
395;2017-01-09 05:30:00;59607,30592975915;616,9159424822791
396;2017-01-09 06:00:00;56623,131000403075;620,765308757281
397;2017-01-09 06:30:00;59000,1850904002;623,629508561693
398;2017-01-09 07:00:00;59707,81714890396;628,4379557051825
399;2017-01-09 07:30:00;61219,71133199199;631,3151983106457
400;2017-01-09 08:00:00;58904,31646201787;780,7972992954919
401;2017-01-09 08:30:00;58134,906456069395;5545,469952100757
402;2017-01-09 09:00:00;56378,68266601121;15114,95192481071
403;2017-01-09 09:30:00;52596,25609443124;27091,340707201543
404;2017-01-09 10:00:00;50848,983272703976;38374,36971492693
405;2017-01-09 10:30:00;49967,11627383195;48423,38489101691
406;2017-01-09 11:00:00;49550,18755883571;55876,579455237355
407;2017-01-09 11:30:00;48704,59012576171;61215,579843194544
408;2017-01-09 12:00:00;47011,99948153681;64030,33783598391
409;2017-01-09 12:30:00;45126,78350853725;65008,5770949684
410;2017-01-09 13:00:00;54778,92412428511;64389,04288000376
411;2017-01-09 13:30:00;52724,181771920965;61937,51081535609
412;2017-01-09 14:00:00;50790,37507451474;57187,61857237147
413;2017-01-09 14:30:00;47135,986940881354;49258,30663681426
414;2017-01-09 15:00:00;53341,6195926136;38232,338392187245
415;2017-01-09 15:30:00;52643,87663803222;26067,513741650804
416;2017-01-09 16:00:00;50403,54998354195;15134,52507068966
417;2017-01-09 16:30:00;50920,670583380124;6345,7375998885655
418;2017-01-09 17:00:00;49633,34235106356;1097,3886137678576
419;2017-01-09 17:30:00;53273,050167214315;620,765308757281
420;2017-01-09 18:00:00;54974,01147736347;622,6704276932053
421;2017-01-09 18:30:00;59335,6007737305;625,5607130997195
422;2017-01-09 19:00:00;60279,65989484961;626,5197939682071
423;2017-01-09 19:30:00;59069,0494049781;627,4658320356438
424;2017-01-09 20:00:00;58157,119500211134;628,4379557051825
425;2017-01-09 20:30:00;56367,115287187495;629,3839937726191
426;2017-01-09 21:00:00;54508,90450425608;630,3561174421579
427;2017-01-09 21:30:00;52662,62150114348;629,3839937726191
428;2017-01-09 22:00:00;62855,361764518166;631,3151983106457
429;2017-01-09 22:30:00;62307,89884911642;632,2742791791333
430;2017-01-09 23:00:00;60493,41899316407;633,233360047621
431;2017-01-09 23:30:00;57926,15828652277;631,3151983106457
432;2017-01-10 00:00:00;56555,41190262855;630,3561174421579
433;2017-01-10 00:30:00;55083,336976370265;629,3839937726191
434;2017-01-10 01:00:00;65545,44898397556;628,4379557051825
435;2017-01-10 01:30:00;63144,78491518005;626,506751167156
436;2017-01-10 02:00:00;61785,087125366845;624,6016322312317
437;2017-01-10 02:30:00;59573,65900999837;623,6425513627441
438;2017-01-10 03:00:00;66284,10266326563;620,765308757281
439;2017-01-10 03:30:00;64219,0028363945;617,8880661518178
440;2017-01-10 04:00:00;61601,75055161649;614,0517426778672
441;2017-01-10 04:30:00;61079,299330870344;614,0517426778672
442;2017-01-10 05:00:00;60349,44787600088;615,9699044148425
443;2017-01-10 05:30:00;59375,90506670491;617,8880661518178
444;2017-01-10 06:00:00;56627,68762952062;618,8471470203056
445;2017-01-10 06:30:00;59023,63978421134;621,7243896257687
446;2017-01-10 07:00:00;60156,83118752245;624,6016322312317
447;2017-01-10 07:30:00;61517,07612812603;626,5197939682071
448;2017-01-10 08:00:00;59580,20651928246;649,7915557726103
449;2017-01-10 08:30:00;59115,1240959053;4724,383290222973
